dx,mental_cat,match_type
F1%,hx_SUD,like
F55.%,hx_SUD,like
T74.%,hx_abuse,like
Z91.41%,hx_abuse,like
Z62.81,hx_abuse,exact
F32.0,depression,exact
F32.1,depression,exact
F32.2,depression,exact
F32.3,depression,exact
F32.4,depression,exact
F32.5,depression,exact
F32.8,depression,exact
F32.89,depression,exact
F32.9,depression,exact
F32.A,depression,exact
F33.0,depression,exact
F33.1,depression,exact
F33.2,depression,exact
F33.3,depression,exact
F33.4,depression,exact
F33.40,depression,exact
F33.41,depression,exact
F33.42,depression,exact
F33.8,depression,exact
F33.9,depression,exact
F34.1,depression,exact
F53.0,depression,exact
O90.6,depression,exact
O99.34,depression,exact
F30.10,bipolar_disorder,exact
F30.11,bipolar_disorder,exact
F30.12,bipolar_disorder,exact
F30.13,bipolar_disorder,exact
F30.2,bipolar_disorder,exact
F30.3,bipolar_disorder,exact
F30.4,bipolar_disorder,exact
F30.8,bipolar_disorder,exact
F30.9,bipolar_disorder,exact
F31.0,bipolar_disorder,exact
F31.10,bipolar_disorder,exact
F31.11,bipolar_disorder,exact
F31.12,bipolar_disorder,exact
F31.13,bipolar_disorder,exact
F31.2,bipolar_disorder,exact
F31.30,bipolar_disorder,exact
F31.31,bipolar_disorder,exact
F31.32,bipolar_disorder,exact
F31.4,bipolar_disorder,exact
F31.5,bipolar_disorder,exact
F31.60,bipolar_disorder,exact
F31.61,bipolar_disorder,exact
F31.62,bipolar_disorder,exact
F31.63,bipolar_disorder,exact
F31.64,bipolar_disorder,exact
F31.70,bipolar_disorder,exact
F31.71,bipolar_disorder,exact
F31.72,bipolar_disorder,exact
F31.73,bipolar_disorder,exact
F31.74,bipolar_disorder,exact
F31.75,bipolar_disorder,exact
F31.76,bipolar_disorder,exact
F31.77,bipolar_disorder,exact
F31.78,bipolar_disorder,exact
F31.81,bipolar_disorder,exact
F31.89,bipolar_disorder,exact
F31.9,bipolar_disorder,exact
F34.0,bipolar_disorder,exact
F34.81,bipolar_disorder,exact
F34.89,bipolar_disorder,exact
F39,bipolar_disorder,exact
F06.4,anxiety,exact
F40.9,anxiety,exact
F40.01,anxiety,exact
F40.02,anxiety,exact
F40.10,anxiety,exact
F40.11,anxiety,exact
F40.218,anxiety,exact
F40.240,anxiety,exact
F40.241,anxiety,exact
F40.8,anxiety,exact
F41.0,anxiety,exact
F41.1,anxiety,exact
F41.3,anxiety,exact
F41.8,anxiety,exact
F41.9,anxiety,exact
F43.0,anxiety,exact
F48.8,anxiety,exact
F48.9,anxiety,exact
F93.8,anxiety,exact
F99,anxiety,exact
R45.7,anxiety,exact
F43.10,posttraumatic_stress_disorder ,exact
F43.11,posttraumatic_stress_disorder ,exact
F43.12,posttraumatic_stress_disorder ,exact
F42.2,obsessive_compulsive_disorder,exact
F42.3,obsessive_compulsive_disorder,exact
F42.4,obsessive_compulsive_disorder,exact
F42.8,obsessive_compulsive_disorder,exact
F42.9,obsessive_compulsive_disorder,exact
R46.81,obsessive_compulsive_disorder,exact
F06.2,psychosis,exact
F06.0,psychosis,exact
F20.0,psychosis,exact
F20.1,psychosis,exact
F20.2,psychosis,exact
F20.3,psychosis,exact
F20.5,psychosis,exact
F20.81,psychosis,exact
F20.89,psychosis,exact
F20.9,psychosis,exact
F21,psychosis,exact
F22,psychosis,exact
F23,psychosis,exact
F24,psychosis,exact
F25.0,psychosis,exact
F25.1,psychosis,exact
F25.8,psychosis,exact
F25.9,psychosis,exact
F28,psychosis,exact
F29,psychosis,exact
F53.1,psychosis,exact
F44.0,psychosis,exact
F44.1,psychosis,exact
F44.2,psychosis,exact
F44.81,psychosis,exact
F44.89,psychosis,exact
F44.9,psychosis,exact
F48.1,psychosis,exact
R45.850,other,exact
F06.1,other,exact
F06.30,other,exact
F06.31,other,exact
F06.32,other,exact
F06.33,other,exact
F06.34,other,exact
F34.9,other,exact
F43.20,other,exact
F43.21,other,exact
F43.22,other,exact
F43.23,other,exact
F43.24,other,exact
F43.25,other,exact
F43.29,other,exact
F43.81,other,exact
F43.89,other,exact
F43.9,other,exact
F44.4,other,exact
F44.5,other,exact
F44.6,other,exact
F44.7,other,exact
F45.0,other,exact
F45.1,other,exact
F45.20,other,exact
F45.21,other,exact
F45.22,other,exact
F45.29,other,exact
F45.41,other,exact
F45.42,other,exact
F45.8,other,exact
F45.9,other,exact
F51.01,other,exact
F51.02,other,exact
F51.03,other,exact
F51.04,other,exact
F51.05,other,exact
F51.09,other,exact
F51.11,other,exact
F51.12,other,exact
F51.13,other,exact
F51.19,other,exact
F51.8,other,exact
F51.9,other,exact
F54,other,exact
F59,other,exact
O99.340,other,exact
O99.341,other,exact
O99.342,other,exact
O99.343,other,exact
O99.344,other,exact
O99.345,other,exact
R45.851,suicide,exact
T14.91,suicide,exact
T14.91XA,suicide,exact
T14.91XD,suicide,exact
T14.91XS,suicide,exact
R45.88,self_harm,exact
T36.0X2,self_harm,exact
T36.0X2A,self_harm,exact
T36.0X2D,self_harm,exact
T36.0X2S,self_harm,exact
T36.1X2,self_harm,exact
T36.1X2A,self_harm,exact
T36.1X2D,self_harm,exact
T36.1X2S,self_harm,exact
T36.2X2,self_harm,exact
T36.2X2A,self_harm,exact
T36.2X2D,self_harm,exact
T36.2X2S,self_harm,exact
T36.3X2,self_harm,exact
T36.3X2A,self_harm,exact
T36.3X2D,self_harm,exact
T36.3X2S,self_harm,exact
T36.4X2,self_harm,exact
T36.4X2A,self_harm,exact
T36.4X2D,self_harm,exact
T36.4X2S,self_harm,exact
T36.5X2,self_harm,exact
T36.5X2A,self_harm,exact
T36.5X2D,self_harm,exact
T36.5X2S,self_harm,exact
T36.6X2,self_harm,exact
T36.6X2A,self_harm,exact
T36.6X2D,self_harm,exact
T36.6X2S,self_harm,exact
T36.7X2,self_harm,exact
T36.7X2A,self_harm,exact
T36.7X2D,self_harm,exact
T36.7X2S,self_harm,exact
T36.8X2,self_harm,exact
T36.8X2A,self_harm,exact
T36.8X2D,self_harm,exact
T36.8X2S,self_harm,exact
T37.0X2,self_harm,exact
T37.0X2A,self_harm,exact
T37.0X2D,self_harm,exact
T37.0X2S,self_harm,exact
T37.1X2,self_harm,exact
T37.1X2A,self_harm,exact
T37.1X2D,self_harm,exact
T37.1X2S,self_harm,exact
T37.2X2,self_harm,exact
T37.2X2A,self_harm,exact
T37.2X2D,self_harm,exact
T37.2X2S,self_harm,exact
T37.3X2,self_harm,exact
T37.3X2A,self_harm,exact
T37.3X2D,self_harm,exact
T37.3X2S,self_harm,exact
T37.4X2,self_harm,exact
T37.4X2A,self_harm,exact
T37.4X2D,self_harm,exact
T37.4X2S,self_harm,exact
T37.5X2,self_harm,exact
T37.5X2A,self_harm,exact
T37.5X2D,self_harm,exact
T37.5X2S,self_harm,exact
T37.8X2,self_harm,exact
T37.8X2A,self_harm,exact
T37.8X2D,self_harm,exact
T37.8X2S,self_harm,exact
T37.92,self_harm,exact
T37.92XA,self_harm,exact
T37.92XD,self_harm,exact
T37.92XS,self_harm,exact
T38.0X2,self_harm,exact
T38.0X2A,self_harm,exact
T38.0X2D,self_harm,exact
T38.0X2S,self_harm,exact
T38.1X2,self_harm,exact
T38.1X2A,self_harm,exact
T38.1X2D,self_harm,exact
T38.1X2S,self_harm,exact
T38.2X2,self_harm,exact
T38.2X2A,self_harm,exact
T38.2X2D,self_harm,exact
T38.2X2S,self_harm,exact
T38.3X2,self_harm,exact
T38.3X2A,self_harm,exact
T38.3X2D,self_harm,exact
T38.3X2S,self_harm,exact
T38.4X2,self_harm,exact
T38.4X2A,self_harm,exact
T38.4X2D,self_harm,exact
