zip|tractfips
27006|37059080200
27006|37059080400
27006|37059080300
27007|37171930102
27007|37171931102
27007|37171931101
27009|37067003105
27009|37067003103
27009|37169070700
27009|37067003106
27010|37067002804
27011|37197050200
27011|37197050300
27011|37197050501
27011|37197050102
27011|37197050400
27012|37067004013
27012|37057060301
27012|37067004012
27012|37057060303
27012|37067004014
27012|37057060304
27012|37057060302
27012|37067004005
27012|37067004015
27012|37067004007
27013|37097061301
27013|37159051901
27013|37097060702
27013|37097061302
27013|37159051902
27013|37097060701
27014|37059080700
27016|37169070200
27016|37169070100
27017|37171931002
27017|37171931102
27017|37171931101
27017|37171931003
27017|37171930802
27017|37171930801
27017|37171931001
27018|37197050102
27018|37197050502
27018|37197050101
27019|37067002807
27019|37169070700
27019|37067002901
27019|37169070600
27019|37169070200
27019|37169070504
27019|37067002904
27020|37197050400
27020|37193961200
27020|37097060801
27020|37197050300
27021|37169070504
27021|37169070600
27021|37169070501
27021|37169070400
27021|37169070503
27021|37169070200
27021|37067002801
27021|37067002808
27022|37169070300
27022|37169070100
27022|37169070200
27023|37067004011
27023|37067004009
27023|37067004007
27023|37067004010
27023|37067004102
27024|37171930801
27024|37171930700
27025|37157040800
27025|37157041100
27025|37157041002
27025|37157040602
27025|37157041001
27025|37169070100
27025|37157040700
27025|37157040900
27027|37157040900
27027|37157040602
27027|37157040700
27028|37059080500
27028|37059080700
27028|37059080100
27028|37059080300
27028|37097060801
27028|37059080200
27028|37059080400
27028|37059080600
27030|37171930600
27030|37171930201
27030|37169070300
27030|37171930202
27030|37171931001
27030|37171930101
27030|37171930700
27030|37171930302
27030|37171930301
27030|37171930801
27030|37171930102
27030|37171931002
27030|37171931101
27030|37171930502
27030|37171930400
27030|37171930501
27040|37067002809
27040|37067004103
27040|37067004009
27040|37067004104
27040|37067002801
27040|37067004102
27040|37067004010
27041|37171931200
27041|37169070400
27041|37171931102
27041|37171930102
27041|37169070300
27041|37171930101
27042|37169070100
27042|37169070700
27043|37169070400
27043|37171931200
27043|37169070501
27043|37171931103
27043|37169070300
27043|37169070503
27045|37169070503
27045|37067002808
27045|37067002901
27045|37169070501
27045|37169070504
27045|37067002806
27045|37067002809
27045|37067002807
27046|37169070100
27047|37171931102
27048|37157040602
27048|37157040900
27048|37157041002
27048|37157040700
27048|37157040601
27049|37171930502
27050|37067004102
27050|37169070501
27050|37067002801
27050|37067002809
27050|37067002808
27051|37067003003
27051|37067003002
27051|37067003106
27051|37067002904
27051|37067003105
27051|37067003103
27051|37067002903
27052|37169070700
27052|37067003106
27052|37067002904
27052|37169070100
27052|37169070200
27052|37169070600
27053|37171930101
27053|37169070400
27053|37169070200
27053|37171930102
27053|37169070300
27054|37159051902
27055|37197050102
27055|37197050400
27055|37097060801
27055|37197050101
27055|37197050200
27055|37197050502
27055|37059080100
27055|37197050501
27094|37067002808
27099|37067002808
27101|37067000700
27101|37067001700
27101|37067000301
27101|37067000400
27101|37067003002
27101|37067000900
27101|37067000600
27101|37067001200
27101|37067000100
27101|37067000801
27101|37067001100
27101|37067003309
27101|37067001602
27101|37067003003
27101|37067000200
27101|37067001000
27101|37067003004
27102|37067000400
27103|37067003803
27103|37067003701
27103|37067001000
27103|37067004014
27103|37067003904
27103|37067002100
27103|37067003804
27103|37067004013
27103|37067000900
27103|37067003806
27103|37067002200
27103|37067003805
27103|37067003903
27103|37067004015
27103|37067004012
27103|37067001100
27104|37067001100
27104|37067003908
27104|37067000200
27104|37067003906
27104|37067003909
27104|37067002501
27104|37067002502
27104|37067004011
27104|37067003903
27104|37067003904
27104|37067001200
27104|37067002200
27104|37067000302
27104|37067003905
27104|37067004010
27105|37067001500
27105|37067001601
27105|37067000302
27105|37067002903
27105|37067003002
27105|37067001300
27105|37067002702
27105|37067001200
27105|37067002804
27105|37067002904
27105|37067002806
27105|37067002901
27105|37067000500
27105|37067001602
27105|37067002807
27105|37067001400
27105|37067000301
27105|37067000400
27105|37067001700
27105|37067000200
27105|37067002703
27105|37067000600
27106|37067004010
27106|37067002601
27106|37067002804
27106|37067002502
27106|37067002801
27106|37067002501
27106|37067001400
27106|37067001200
27106|37067002702
27106|37067002604
27106|37067002701
27106|37067004103
27106|37067001300
27106|37067000302
27106|37067003906
27106|37067002809
27106|37067002603
27106|37067002703
27106|37067004104
27106|37067003908
27107|37067000801
27107|37067001800
27107|37057060203
27107|37067001901
27107|37057060202
27107|37067000802
27107|37067003403
27107|37067003402
27107|37067002001
27107|37067003311
27107|37057060601
27107|37067003310
27107|37067003600
27107|37057060201
27107|37057060102
27107|37067003308
27107|37067003404
27107|37067003309
27107|37067003500
27108|37067000900
27109|37067001300
27110|37067000700
27110|37067000801
27111|37067000100
27113|37067000100
27114|37067003805
27115|37067000400
27116|37067002703
27117|37067001800
27120|37067000100
27127|37067001901
27127|37057060301
27127|37067003803
27127|37067003804
27127|37057060203
27127|37067001902
27127|37067004015
27127|37067003702
27127|37067001000
27127|37057060302
27127|37067000802
27127|37067003701
27127|37067002002
27127|37067003703
27127|37067002001
27127|37067000900
27127|37067003600
27130|37067003804
27150|37067000100
27152|37067000100
27155|37067000100
27157|37067002200
27199|37067000400
27201|37001021801
27202|37001021500
27203|37151030801
27203|37151030301
27203|37151031400
27203|37151031100
27203|37151030202
27203|37151030201
27203|37151030302
27203|37151030100
27203|37151030400
27205|37151030502
27205|37151030100
27205|37151030504
27205|37151030802
27205|37151030801
27205|37151030700
27205|37151030202
27205|37151030503
27205|37151030600
27207|37037020600
27207|37037020300
27207|37037020500
27208|37151030900
27208|37037020500
27208|37125950100
27209|37123960100
27209|37125950200
27209|37123960500
27209|37125950301
27212|37033930200
27212|37033930100
27213|37037020500
27214|37157041602
27214|37081015706
27214|37081015600
27214|37081015500
27214|37081015100
27214|37157041300
27215|37001021901
27215|37081017200
27215|37001020902
27215|37001020601
27215|37001021801
27215|37001021703
27215|37001021802
27215|37081017000
27215|37001020701
27215|37081015200
27215|37001021702
27215|37001020602
27215|37001020100
27215|37001020702
27215|37001021701
27215|37001020501
27215|37001020802
27215|37001020801
27215|37001020901
27216|37001020802
27217|37001020200
27217|37001020300
27217|37001020502
27217|37001020602
27217|37001020400
27217|37033930500
27217|37001020501
27217|37001021600
27217|37001020802
27217|37001021500
27217|37001021201
27217|37001021300
27217|37033930600
27217|37001021400
27217|37001020100
27217|37001021000
27229|37123960200
27229|37153970200
27229|37123960100
27229|37123960500
27229|37123960402
27230|37151031100
27231|37145920602
27231|37135010801
27233|37081017100
27233|37081017000
27233|37151031306
27233|37081016900
27235|37067003314
27235|37081016204
27235|37081016203
27235|37081016201
27239|37057062001
27239|37057062002
27239|37151030700
27239|37151030504
27239|37123960300
27239|37057061902
27242|37125950200
27242|37123960500
27242|37125950302
27242|37125950301
27243|37135010801
27243|37135011101
27243|37135011102
27243|37135011203
27243|37135011000
27244|37001021600
27244|37001020601
27244|37001021500
27244|37081015100
27244|37081015200
27244|37001021701
27244|37001020501
27244|37033930500
27244|37001021702
27247|37123960100
27248|37151031100
27248|37151031000
27248|37151031400
27248|37151031306
27248|37151030801
27249|37001021701
27249|37033930500
27249|37081015300
27249|37001021600
27249|37081015200
27249|37001021500
27249|37081015100
27249|37081015401
27249|37157041300
27252|37125950100
27252|37037020600
27252|37037020500
27253|37001020300
27253|37001021101
27253|37001021204
27253|37001021000
27253|37001021201
27253|37001020802
27253|37001020901
27253|37001022001
27253|37001021902
27253|37001020902
27253|37001021102
27253|37001021901
27253|37001022002
27253|37001021802
27256|37037020600
27258|37001020300
27258|37001021204
27258|37001022001
27258|37001022002
27258|37001021201
27258|37001021206
27259|37125950100
27260|37081014200
27260|37151031601
27260|37081014502
27260|37081016410
27260|37081014408
27260|37081013700
27260|37081014300
27260|37081013900
27260|37081014503
27260|37081014501
27260|37081014406
27260|37081016409
27260|37081013602
27260|37081013800
27260|37081014411
27260|37081014000
27260|37081014412
27261|37081013900
27262|37081014408
27262|37081014411
27262|37081013602
27262|37057060602
27262|37081014407
27262|37081014410
27262|37081013601
27262|37081013800
27262|37081013700
27262|37057060102
27262|37057060101
27262|37151031601
27262|37081014000
27262|37057060601
27263|37081014502
27263|37151031503
27263|37081014501
27263|37081016702
27263|37151031304
27263|37151031504
27263|37081016600
27263|37151031602
27263|37151031303
27263|37151031601
27265|37081016303
27265|37057060102
27265|37081014410
27265|37081016306
27265|37081016205
27265|37081016406
27265|37081014412
27265|37081016304
27265|37081014409
27265|37081016407
27265|37057060601
27265|37057060101
27265|37081014411
27265|37081016204
27265|37081016409
27265|37081016305
27265|37081016203
27265|37067003313
27265|37081014407
27268|37081013800
27268|37081013601
27278|37135011000
27278|37135010901
27278|37063001603
27278|37135011102
27278|37135011203
27278|37063002100
27278|37135011101
27278|37135010801
27278|37135010902
27278|37135011202
27278|37063001604
27278|37135010802
27281|37123960500
27281|37125950302
27281|37125951200
27281|37153970100
27281|37153970200
27282|37081016409
27282|37081016503
27282|37081016506
27282|37081016505
27282|37081016405
27282|37081016502
27282|37081016407
27282|37081016410
27282|37081016600
27282|37081016406
27282|37081016408
27282|37081014406
27283|37081016900
27283|37151031306
27283|37151031200
27283|37081017000
27283|37081017200
27283|37081017100
27284|37067003108
27284|37081016201
27284|37067003311
27284|37067003107
27284|37067003313
27284|37081015901
27284|37067003308
27284|37067003315
27284|37067003004
27284|37081015902
27284|37067003307
27284|37067003402
27284|37067003202
27284|37067003201
27284|37067003103
27284|37067003312
27284|37081016203
27284|37067003106
27284|37067003314
27284|37067003003
27284|37067003309
27284|37067003310
27284|37057060102
27285|37067003201
27288|37157040101
27288|37157040400
27288|37157040502
27288|37157040501
27288|37157040300
27288|37157040601
27288|37157040602
27288|37157040200
27288|37157041100
27289|37157040300
27291|37033930600
27291|37145920200
27291|37145920601
27292|37057061902
27292|37057061201
27292|37151030504
27292|37057060500
27292|37057061300
27292|37057061803
27292|37057061400
27292|37057062001
27292|37057061701
27292|37057061500
27292|37057061802
27292|37057061901
27292|37057061804
27292|37057061600
27293|37057061300
27294|37057061300
27295|37057061202
27295|37057060400
27295|37057061201
27295|37057061703
27295|37057060303
27295|37057060500
27295|37057061701
27295|37057061702
27295|37057061802
27295|37057060304
27295|37057060203
27295|37057061600
27295|37057060201
27295|37057060301
27298|37001021803
27298|37151031200
27298|37081017000
27298|37151031306
27298|37037020200
27298|37081017200
27298|37001021801
27298|37151031000
27299|37057061803
27299|37057061702
27299|37057061701
27299|37057061804
27299|37057061703
27301|37081015402
27301|37081015401
27301|37081015300
27301|37081015100
27301|37081017200
27301|37081012803
27302|37001021207
27302|37001021201
27302|37135010801
27302|37001021205
27302|37001022002
27302|37001021204
27302|37135011203
27302|37001021206
27302|37135011101
27302|37135011102
27302|37033930600
27302|37001021300
27305|37145920200
27305|37033930100
27306|37123960401
27306|37153970200
27306|37123960500
27306|37123960200
27306|37123960300
27306|37123960402
27310|37081015902
27310|37081016201
27310|37081015901
27310|37081015800
27310|37081016003
27311|37033930300
27311|37033930400
27311|37157040102
27311|37157040101
27312|37037020104
27312|37037020702
27312|37037020106
27312|37135011203
27312|37037020105
27312|37037020600
27312|37037020200
27312|37037020800
27313|37081016800
27313|37081016900
27313|37151031306
27314|37033930600
27314|37135010801
27315|37033930300
27315|37033930400
27316|37151031000
27316|37151030900
27316|37151030801
27316|37151030802
27316|37151031100
27317|37151031304
27317|37151031305
27317|37151030503
27317|37151031306
27317|37151030302
27317|37081016900
27317|37151030400
27317|37151031100
27317|37151031400
27317|37081016702
27317|37151030502
27317|37151030301
27320|37157041500
27320|37157041400
27320|37081015600
27320|37157041200
27320|37157040101
27320|37157041602
27320|37157041300
27320|37157040102
27320|37081015100
27320|37033930500
27320|37157041601
27320|37157041100
27320|37157041002
27320|37033930400
27325|37125950301
27325|37125950100
27325|37125950200
27325|37037020500
27325|37151030900
27326|37033930400
27326|37157040101
27326|37157040102
27330|37105030200
27330|37125950402
27330|37085071101
27330|37037020600
27330|37105030402
27330|37105030601
27330|37105030401
27330|37105030701
27330|37105030101
27330|37105030102
27330|37125950100
27330|37105030602
27330|37105030702
27330|37105030300
27331|37105030300
27332|37037020800
27332|37105030501
27332|37105030502
27332|37105030402
27332|37085071301
27332|37085071303
27332|37105030401
27332|37085071102
27332|37037020600
27332|37085071401
27332|37085071302
27332|37105030702
27332|37105030503
27332|37105030602
27340|37001022001
27341|37151030802
27341|37125950200
27341|37123960100
27341|37151030900
27342|37081015300
27343|37145920200
27343|37033930600
27343|37033930100
27344|37037020200
27344|37037020402
27344|37037020500
27344|37037020600
27344|37037020401
27344|37037020300
27344|37151030900
27344|37001021803
27344|37151031000
27349|37037020200
27349|37001021902
27349|37001021901
27349|37001021801
27349|37001021803
27349|37001021802
27350|37151031303
27350|37151031304
27350|37151031505
27350|37151030503
27350|37151030504
27351|37057061804
27355|37151031000
27355|37037020402
27355|37037020300
27355|37037020200
27355|37151031200
27356|37125950301
27356|37123960100
27356|37125950200
27356|37123960200
27357|37157041002
27357|37169070700
27357|37157041001
27357|37081015901
27357|37067003106
27358|37157041602
27358|37081016003
27358|37157041002
27358|37081015800
27358|37081015600
27358|37081016005
27358|37081016008
27358|37081015901
27359|37001021101
27359|37001022001
27360|37057060900
27360|37057061901
27360|37151031601
27360|37057061201
27360|37151030504
27360|37151031501
27360|37057060500
27360|37057060700
27360|37057061000
27360|37057060602
27360|37057061902
27360|37057060601
27360|37057061100
27360|37057060800
27360|37057060102
27370|37151030504
27370|37151031601
27370|37151031501
27370|37151031504
27370|37151031304
27370|37151031602
27370|37151031505
27370|37151031303
27370|37151030503
27371|37151030700
27371|37123960300
27371|37123960100
27371|37123960200
27373|37057060102
27374|37057060400
27375|37157041100
27376|37125950401
27376|37125950301
27376|37125950601
27376|37125950302
27376|37125950602
27377|37081015300
27377|37081017000
27377|37081017200
27377|37081015200
27379|37033930200
27379|37033930400
27379|37033930500
27379|37033930600
27379|37033930100
27401|37081010800
27401|37081010701
27401|37081011200
27401|37081011000
27401|37081010702
27401|37081010900
27401|37081011102
27401|37081012707
27401|37081012803
27401|37081010300
27401|37081011101
27402|37081011000
27403|37081010602
