INI,ITEM,ITEM_TABLE_NAME,ITEM_TABLE_DESCRIPTION,ITEM_COLUMN_NAME,ITEM_COLUMN_DESCRIPTION,SITE,ITEM_VALUE,ITEM_VALUE_DESCRIPTION,DESTINATION_TABLE,DESTINATION_VOCABULARY,DESTINATION_VALUE,DESTINATION_DESCRIPTION
HSB,35413,OB_HSB_DELIVERY,"This table contains information about the delivery for this pregnancy, as entered in Stork's Delivery Summary activity",OB_DEL_DELIV_METH_C,"The Delivery Type category ID for the type of delivery the patient experienced with this pregnancy, such as spontaneous vaginal delivery or classical cesarean section",WAKE FOREST,250,"Vaginal, Spontaneous",PROCEDURES,SM,48204000,"Spontaneous unassisted delivery, medical personnel present"
HSB,35413,OB_HSB_DELIVERY,"This table contains information about the delivery for this pregnancy, as entered in Stork's Delivery Summary activity",OB_DEL_DELIV_METH_C,"The Delivery Type category ID for the type of delivery the patient experienced with this pregnancy, such as spontaneous vaginal delivery or classical cesarean section",WAKE FOREST,251,"C-Section, Low Transverse",PROCEDURES,SM,11466000,Cesarean section
HSB,35413,OB_HSB_DELIVERY,"This table contains information about the delivery for this pregnancy, as entered in Stork's Delivery Summary activity",OB_DEL_DELIV_METH_C,"The Delivery Type category ID for the type of delivery the patient experienced with this pregnancy, such as spontaneous vaginal delivery or classical cesarean section",WAKE FOREST,252,Vertical C-Section,PROCEDURES,SM,11466000,Cesarean section
HSB,35413,OB_HSB_DELIVERY,"This table contains information about the delivery for this pregnancy, as entered in Stork's Delivery Summary activity",OB_DEL_DELIV_METH_C,"The Delivery Type category ID for the type of delivery the patient experienced with this pregnancy, such as spontaneous vaginal delivery or classical cesarean section",WAKE FOREST,253,"C-Section, Unspecified",PROCEDURES,SM,11466000,Cesarean section
HSB,35413,OB_HSB_DELIVERY,"This table contains information about the delivery for this pregnancy, as entered in Stork's Delivery Summary activity",OB_DEL_DELIV_METH_C,"The Delivery Type category ID for the type of delivery the patient experienced with this pregnancy, such as spontaneous vaginal delivery or classical cesarean section",WAKE FOREST,254,"Vaginal, Vacuum (Extractor)",PROCEDURES,SM,61586001,Delivery by vacuum extraction
HSB,35413,OB_HSB_DELIVERY,"This table contains information about the delivery for this pregnancy, as entered in Stork's Delivery Summary activity",OB_DEL_DELIV_METH_C,"The Delivery Type category ID for the type of delivery the patient experienced with this pregnancy, such as spontaneous vaginal delivery or classical cesarean section",WAKE FOREST,255,"Vaginal, Forceps",PROCEDURES,SM,302383004,Forceps delivery
HSB,35413,OB_HSB_DELIVERY,"This table contains information about the delivery for this pregnancy, as entered in Stork's Delivery Summary activity",OB_DEL_DELIV_METH_C,"The Delivery Type category ID for the type of delivery the patient experienced with this pregnancy, such as spontaneous vaginal delivery or classical cesarean section",WAKE FOREST,256,"Vaginal, Breech",PROCEDURES,SM,177157003,Spontaneous breech delivery
HSB,35413,OB_HSB_DELIVERY,"This table contains information about the delivery for this pregnancy, as entered in Stork's Delivery Summary activity",OB_DEL_DELIV_METH_C,"The Delivery Type category ID for the type of delivery the patient experienced with this pregnancy, such as spontaneous vaginal delivery or classical cesarean section",WAKE FOREST,257,Non-Spontaneous Vaginal Delivery,PROCEDURES,SM,236974004,Instrumental delivery
HSB,35413,OB_HSB_DELIVERY,"This table contains information about the delivery for this pregnancy, as entered in Stork's Delivery Summary activity",OB_DEL_DELIV_METH_C,"The Delivery Type category ID for the type of delivery the patient experienced with this pregnancy, such as spontaneous vaginal delivery or classical cesarean section",WAKE FOREST,258,"VBAC, Spontaneous",PROCEDURES,OT,,
HSB,35413,OB_HSB_DELIVERY,"This table contains information about the delivery for this pregnancy, as entered in Stork's Delivery Summary activity",OB_DEL_DELIV_METH_C,"The Delivery Type category ID for the type of delivery the patient experienced with this pregnancy, such as spontaneous vaginal delivery or classical cesarean section",WAKE FOREST,259,"C-Section, Low Vertical",PROCEDURES,SM,11466000,Cesarean section
